Id;name;folder;dist_mm;area_mm;golden_ratio;sagging;tilt;out_angle;in_angle;elongation
485;E:\Data\CT2020\Portraits\Chine\S197 CH - 393.JPG;Chine;44.39344721;187.655625;1.79134302;0.921037149;0.149093913;1.045468851;0.915925394;0.343100618
486;E:\Data\CT2020\Portraits\Chine\S198 CH - 395.JPG;Chine;45.78813055;131.720625;1.79613983;1.080056287;0.155397498;0.828225403;0.757428955;0.273010655
487;E:\Data\CT2020\Portraits\Chine\S199 CH - 397.JPG;Chine;46.14687752;220.291875;1.802361633;1.019484776;0.179582625;1.117513783;0.921536808;0.358667239
488;E:\Data\CT2020\Portraits\Chine\S200 CH - 399.JPG;Chine;44.42862827;159.744375;1.815814121;1.030403608;0.145849735;0.988161304;0.886949574;0.333809263
489;E:\Data\CT2020\Portraits\Chine\S201 CH - 401.JPG;Chine;48.08391047;183.45375;1.81325554;1.007841143;0.158296512;1.036629633;0.901795508;0.340447538
490;E:\Data\CT2020\Portraits\Chine\S202 CH - 403.JPG;Chine;45.91859117;136.3275;1.785252199;1.09913364;0.164007924;0.98908803;0.848571675;0.312588147
491;E:\Data\CT2020\Portraits\Chine\S203 CH - 406.JPG;Chine;41.09951181;170.769375;1.79719635;0.965541436;0.136572543;1.01299705;0.887842159;0.339487849
492;E:\Data\CT2020\Portraits\Chine\S204 CH - 407.JPG;Chine;45.73319947;165.9825;1.815607254;1.04047084;0.147458654;0.945833303;0.738872825;0.296450606
493;E:\Data\CT2020\Portraits\Chine\S205 CH - 409.JPG;Chine;41.94643624;194.1525;1.827010672;0.974607766;0.137525678;1.079059439;0.944083081;0.354389276
494;E:\Data\CT2020\Portraits\Chine\S206 CH - 412.JPG;Chine;47.16535649;185.225625;1.818510863;0.947985115;0.127160537;0.980354329;0.810713148;0.313365932
495;E:\Data\CT2020\Portraits\Chine\S207 CH - 413.JPG;Chine;46.92863877;161.195625;1.782164243;0.980303905;0.168767109;1.005302769;0.823631224;0.320161685
496;E:\Data\CT2020\Portraits\Chine\S208 CH - 415.JPG;Chine;43.22454973;187.335;1.812686005;0.937311564;0.172291068;1.134834138;0.978840578;0.372666981
497;E:\Data\CT2020\Portraits\Chine\S209 CH - 418.JPG;Chine;44.93048492;146.728125;1.805983949;1.027946894;0.163469214;0.947280439;0.804845835;0.308051071
498;E:\Data\CT2020\Portraits\Chine\S210 CH - 420.JPG;Chine;44.1184883;152.55;1.813789136;1.055312099;0.149236252;0.938691213;0.788346571;0.305076154
499;E:\Data\CT2020\Portraits\Chine\S211 CH - 421.JPG;Chine;43.31964798;208.693125;1.798934735;1.006210585;0.194336061;1.163326053;0.943624824;0.373420593
500;E:\Data\CT2020\Portraits\Chine\S212 CH - 423.JPG;Chine;50.20455689;172.591875;1.801675019;1.058172847;0.147245371;0.89970471;0.76705649;0.300683448
501;E:\Data\CT2020\Portraits\Chine\S213 CH - 426.JPG;Chine;47.33583575;145.83375;1.785065855;1.019511528;0.146931899;0.886013025;0.764212324;0.285959796
502;E:\Data\CT2020\Portraits\Chine\S214 CH - 427.JPG;Chine;45.90730787;129.414375;1.807302376;1.077228991;0.146797593;0.786604531;0.719538435;0.262526386
503;E:\Data\CT2020\Portraits\Chine\S215 CH - 429.JPG;Chine;45.03245771;127.186875;1.780164989;1.04168794;0.139364557;0.793346094;0.685714191;0.253207406
504;E:\Data\CT2020\Portraits\Chine\S216 CH - 431.JPG;Chine;47.31530991;115.126875;1.770951756;1.101881741;0.160400184;0.704697415;0.655521499;0.234481013
505;E:\Data\CT2020\Portraits\Chine\S217 CH - 434.JPG;Chine;45.97455487;121.764375;1.811138809;1.037343744;0.145831121;0.926536911;0.898129712;0.31148566
506;E:\Data\CT2020\Portraits\Chine\S218 CH - 435.JPG;Chine;49.06012517;198.016875;1.810956743;0.963602635;0.150919068;0.974439077;0.842958921;0.327594806
507;E:\Data\CT2020\Portraits\Chine\S219 CH - 438.JPG;Chine;42.21911566;147.85875;1.796217995;1.037251514;0.133297865;0.992937813;0.851506001;0.326194992
508;E:\Data\CT2020\Portraits\Chine\S220 CH - 439.JPG;Chine;43.62830004;147.18375;1.809245319;1.063643161;0.141467426;0.936595126;0.76929385;0.305361281
509;E:\Data\CT2020\Portraits\Chine\S221 CH - 441.JPG;Chine;46.42403653;160.318125;1.790448552;1.092862159;0.188629157;1.083526588;0.968614636;0.354339675
